Receipe Image URL,Receipes,Cuisine,Veg-NonVeg,Cook Time,Effort,Ingredients,Receipe Method,Receipes URL
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--4007_11.jpg?itok=gjmwAiBn,British pork cassoulet,southern_us,non-vegetarian,1 hr,Easy,"400-450g streaky steaks (strips of pork belly), rind trimmed 1 tbsp sunflower or vegetable oil 400-450g pack of pork sausages (try Cumberland, garlic or sage-flavoured Lincolnshire varieties) 4 back bacon chops, about 400g/14oz 400g can cannellini, haricot, butter or mixed beans, drained 1 large onion, chopped 4 medium carrots, thickly sliced 400g can chopped tomatoes 1 bouquet garni 'tea bag' about 600ml chicken stock (from a stock cube is fine) 25g fresh white breadcrumbs 2 garlic cloves","Heat oven to 180C/fan 160C/gas 4. Quickly pan-fry the strips of pork belly in the oil, followed by the sausages and back bacon chops, until well browned.Mix together the beans, onion, garlic, carrots and tomatoes in a bowl. Starting with a spoonful of the veg, inter-layer the vegetable mix and meats in a deep braising pan (about 3 litres capacity, 7.5cm deep, preferably one that will go on top of the stove Ã¢ÂÂ see GaryÃ¢ÂÂs tip, below). Place the bouquet garni in the centre as everything is being stacked.Pour just enough chicken stock on top to almost cover, then bring to a simmer on top of the stove (see GaryÃ¢ÂÂs tip). Sprinkle the breadcrumbs over the top and braise in the oven for about 1hr 20- 1hr 30 mins, until the meats are all tender and the top is golden brown. If the stock reduces while braising, simply pour a little more on top to moisten. Remove from the oven and allow to settle for 5 mins before serving. (Remember to take out the bouquet garni.)",https://www.bbcgoodfood.com/recipes/2848/british-pork-cassoulet
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--909460_10.jpg?itok=HIirDA4p,"Beef, ale & parsnip pudding",british,non-vegetarian,3 hrs,More effort,"1 large onion, chopped 100g smoked baconlardons 2 tbsp olive oil 500g lean stewing beef, cubed 2 tbsp plain flour 3 parsnips, cubed 500ml brown ale 300ml beef stock 2 tbsp cranberry or redcurrant jelly 4 thymesprigs greens, to serve (optional) butter, for greasing 300g self-raising flour, plus extra for dusting 2 tsp English mustardpowder 140g shredded suet","Heat a large pan and cook the onion and lardons together for 5 mins until golden. Scoop out with a slotted spoon and set aside. Add the oil to the pan, dust the beef with the flour, then evenly brown over a high heat.Add the parsnips, ale, stock, jelly, thyme and lardon mixture to the pan. Bring to the boil, then cover and simmer for 1ÃÂ½ hrs until the meat is tender.Generously butter a 1.5-litre pudding basin. To make the pastry, mix together the flour, mustard powder, suet and ÃÂ½ tsp table salt. Add enough cold water, about 150ml, to make a soft dough. Remove one-quarter of the dough and set to one side. On a heavily floured surface, roll out the remaining dough to make a large round, big enough to line the basin.Carefully lay the pastry in the basin (aim to have 1cm of pastry overhanging the rim), then press the edges of the join together to seal. Roll out the remaining one-quarter into a circle big enough to cover the top.Pour off the cooking liquid from the filling into a small pan and set aside. Discard the thyme stalks. Spoon the filling into the lined basin and pour over 100ml of the cooking liquid. Fold over the overhanging pastry and brush with water. Place the lid on top, pressing firmly around the edges to seal.Butter a sheet of baking parchment, fold in a large pleat and lay, butter-side down, on top of the pudding. Cover with a pleated layer of foil and finally tie with string, making a loop for the handle so you can lift the pudding easily.Sit a small trivet or a large cookie cutter in the bottom of a deep saucepan thatÃ¢ÂÂs big enough to take the basin easily. Half-fill the pan with water and bring to the boil. Lower in the pudding, cover and simmer for 2 hrs, topping up with boiling water when necessary.Reheat the cooking liquid, bubbling it down a little so it reduces into a tasty gravy. Carefully lift out the pudding. Run a knife around the rim, then turn out and serve with gravy and greens, if you like.",https://www.bbcgoodfood.com/recipes/1974640/beef-ale-and-parsnip-pudding
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--992451_11.jpg?itok=TEiXcKpa,Scampi with tartare sauce,irish,non-vegetarian,20 mins,More effort,"15-20 langoustineor Dublin Bay prawn tails vegetable or sunflower oil, for frying 140g plain flour 85g cornflour 150ml beer 100ml sparkling water lemon wedges and chips, to serve 6 tbsp mayonnaise 1 gherkinor 6 cornichons, finely chopped 1 tbsp caper, rinsed and chopped 1 tsp lemon juice 1 tbsp chopped parsley 2 tsp chopped tarragon","To prepare the langoustines, pull off the head and pincers. Lay the tail flat on a chopping board and use a sharp pair of scissors to cut a line straight down the back of the shell. Carefully peel the langoustine, score down the back, then remove the grit sac.Get the oil heating in a large saucepan or wok Ã¢ÂÂ you will need enough to come 2-3in up the side of the pan. For the tartare sauce, mix all ingredients in a bowl and season.Place the flours in a bowl with a good pinch of salt and pepper. Add the beer and sparkling water, and whisk to a smooth batter.To test if the oil is hot enough, put a drop of batter into the pan Ã¢ÂÂ it should crisp and brown within 30 secs. Dip each langoustine or prawn tail into the batter, then carefully drop it into the oil. Drizzle a little extra batter over each one while they are cooking Ã¢ÂÂ this will give you a really crispy coating. Cook them in batches, making sure you donÃ¢ÂÂt overcrowd the pan. When golden and floating to the surface, scoop out and drain well on kitchen paper. Sprinkle the scampi with salt and serve with the tartare sauce, lemon wedges and chips.",https://www.bbcgoodfood.com/recipes/2220651/scampi-with-tartare-sauce
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--954508_10.jpg?itok=ryJ5Cdpa,No-fail Yorkies,british,non-vegetarian,40 mins,Easy,450ml milk 4 large eggs 250g plain flour 2 tbsp sunflower or vegetable oil,"Up to 3-4 hrs before cooking, mix together the milk, eggs, flour and 2 tsp salt in a food processor or blender until you have a smooth batter. If you donÃ¢ÂÂt have a food processor or blender, whisk the eggs into the flour and salt, then gradually whisk in the milk until smooth. Transfer to a jug, cover and leave at room temperature for at least 15 mins.Heat oven to 220C/200C fan/gas 7 and brush 12 holes of a muffin tin with the oil. Heat the tin in the oven for 5 mins, then carefully lift out and quickly pour the batter into the holes. Bake in the oven for 5 mins, then reduce oven temperature to 200C/180C fan/ gas 6 and cook for a further 30 mins until puffed, risen and golden.",https://www.bbcgoodfood.com/recipes/2138671/nofail-yorkies
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--932451_11.jpg?itok=CMwPFCbU,Roast lamb with spring herb crumbs,french,non-vegetarian,2 hrs,Easy,"100g good-quality white bread 2 garlic cloves zest 1 lemon 1 tsp thyme leaf, chopped small bunch parsley, chopped 3-4 anchovyfillets, chopped (optional) 5 carrots, cut into chunks 2 onions, cut into chunks 4 bay leaves small bunch rosemary 2 tbsp olive oil large leg of lamb, about 3kg/6lb 8oz 3 garlic cloves, thickly sliced, plus a whole bulb, halved 5 tbsp plain flour 200ml white wine, plus a splash 600ml lambstock","Heat oven to 160C/140C fan/gas 3. For the lamb, scatter the vegetables, bay leaves and a few rosemary sprigs into a large roasting tin and drizzle with the olive oil. Use a sharp knife to make little slits all over the lamb. Poke a slice of garlic and a small sprig of rosemary into each one. Sit the lamb on top of the veg in the roasting tin, add a splash of wine, then cook for 2 hrs if you like it pink, or 2 hrs 15 mins for cooked through. Remove from the oven, transfer to a board and cover with foil, then rest for 45 mins-1 hr.To make the gravy, pour off most of the fat from the tin but leave the veg and any meat juices. Place the tin on the heat to caramelise the veg, then stir in the flour and cook to a paste. Gradually stir in the wine, cook for a min, then stir in the stock and simmer until you have a tasty gravy. Push the gravy through a sieve into a small pan and keep warm.Turn oven up to 220C/200C fan/gas 7. For the crumbs, blitz everything in a food processor and scatter over a tray. Bake in the oven for 10-15 mins until crisp, then re-blitz or break up with your fingers to crumbs again. These can be made in advance and kept in an airtight container for 2 days. Serve the lamb carved into slices, sprinkled with crumbs and a jug of gravy alongside.",https://www.bbcgoodfood.com/recipes/2063668/roast-lamb-with-spring-herb-crumbs
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--1079534_10.jpg?itok=SajjID9_,Beef Wellington,italian,non-vegetarian,,A challenge,"a good beef fillet(preferably Aberdeen Angus) of around 1kg/2lb 4oz 3 tbsp olive oil 250g/ 9oz chestnut mushroom, include some wild ones if you like 50g/ 2oz butter 1 large sprig fresh thyme 100ml/ 3ÃÂ½ fl oz dry white wine 12 slices prosciutto 500g/1lb 2oz pack puff pastry, thawed if frozen a little flour, for dusting 2 egg yolks beaten with 1 tsp water","Heat oven to 220C/fan 200C/gas 7.Sit the 1kg beef fillet on a roasting tray, brush with 1 tbsp olive oil and season with pepper, then roast for 15 mins for medium-rare or 20 mins for medium.ÃÂ When the beef is cooked to your liking, remove from the oven to cool, then chill in the fridge for about 20 mins.While the beef is cooling, chop 250g chestnut (and wild, if you like) mushrooms as finely as possible so they have the texture of coarse breadcrumbs. You can use a food processor to do this, but make sure you pulse-chop the mushrooms so they donÃ¢ÂÂt become a slurry.Heat 2 tbsp of the olive oil and 50g butter in a large pan and fry the mushrooms on a medium heat, with 1 large sprig fresh thyme, for about 10 mins stirring often, until you have a softened mixture.Season the mushroom mixture, pour over 100ml dry white wine and cook for about 10 mins until all the wine has been absorbed. The mixture should hold its shape when stirred.Remove the mushroom duxelle from the pan to cool and discard the thyme.Overlap two pieces of cling film over a large chopping board. Lay 12 slices prosciutto on the cling film, slightly overlapping, in a double row.Spread half the duxelles over the prosciutto, then sit the fillet on it and spread the remaining duxelles over.Use the cling filmÃ¢ÂÂs edges to draw the prosciutto around the fillet, then roll it into a sausage shape, twisting the ends of cling film to tighten it as you go.Chill the fillet while you roll out the pastry.Dust your work surface with a little flour. Roll out a third of the 500g pack of puff pastry to a 18 x 30cm strip and place on a non-stick baking sheet.Roll out the remainder of the 500g pack of puff pastry to about 28 x 36cm.Unravel the fillet from the cling film and sit it in the centre of the smaller strip of pastry.Beat the 2 egg yolks with 1 tsp water and brush the pastryÃ¢ÂÂs edges, and the top and sides of the wrapped fillet.Using a rolling pin, carefully lift and drape the larger piece of pastry over the fillet, pressing well into the sides.Trim the joins to about a 4cm rim. Seal the rim with the edge of a fork or spoon handle.Glaze all over with more egg yolk and, using the back of a knife, mark the beef Wellington with long diagonal lines taking care not to cut into the pastry.Chill for at least 30 mins and up to 24 hrs.ÃÂ Heat oven to 200C/fan 180C/gas 6.Brush the Wellington with a little more egg yolk and cook until golden and crisp Ã¢ÂÂ 20-25 mins for medium-rare beef, 30 mins for medium. Allow to stand for 10 mins before serving in thick slices.",https://www.bbcgoodfood.com/recipes/2538/beef-wellington
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--954491_10.jpg?itok=yrM6TLWN,Roast beef with caramelised onion gravy,british,non-vegetarian,1 hr,Easy,1 tbsp black peppercorn 1 tbsp English mustardpowder 1 tbsp dried thyme 1 tsp celeryseeds 1 tbsp olive oil about 2kg/4lb 8oz topside joint of beef 4 tbsp plain flour 2 beef stock cubes 3 tbsp caramelised onion chutney or marmalade 2-3 tsp Marmite,"Crush the peppercorns, mustard powder, thyme and celery seeds together with some salt, using a pestle and mortar. Stir in the oil, then rub it all over the beef. (If you have time, cover and chill the joint overnight to marinate. Bring the beef out of the fridge 1 hr before roasting.)Heat oven to 190C/170C fan/gas 5 and sit the joint in a snug-ish roasting tin. Roast for 12 mins per 450g/1lb (about 55 mins for a 2kg/4lb 8oz joint) for medium-rare, or 15 mins per 450g/1lb (about 1 hr 10 mins) for medium-well.Remove from the oven, lift onto a platter, cover with foil and rest for 30 mins. If youÃ¢ÂÂre making the Yorkies (p90), increase oven to 220C/200C fan/gas 7.For the gravy, pour any juices from the roasting tin into a jug. Let the juices separate, then spoon 2 tbsp of the fat back into the tin Ã¢ÂÂ if there is no fat, use 2 tbsp butter instead. Discard any other fat. Sit the roasting tin on the hob and stir in the flour, stock cubes, onion chutney or marmalade and Marmite. Cook for 1 min, stirring well to scrape up any beefy bits stuck to the tin, then gradually stir in 750ml hot water from the kettle. Bubble to thicken to a nice consistency, then gently keep warm until ready to serve with the beef, carved into slices.",https://www.bbcgoodfood.com/recipes/2138667/roast-beef-with-caramelised-onion-gravy
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--838499_11.jpg?itok=1BjfkQvl,Marzipan Eccles tarts,british,non-vegetarian,20 mins,Easy,"300g leftover dried fruit, like raisins, sultanas, currants 2 eating applesor pears, cored and grated 50g demerara sugar, plus a little extra to decorate 100g leftover marzipan, grated ÃÂ½ tsp ground cloves 1 tsp ground cinnamon 500g block puff pastry little flour, for rolling 1 egg, beaten","Mix the dried fruit, grated apple or pear, Demerara sugar, marzipan, cloves and cinnamon.Divide the pastry into 6. Then assemble tarts one by one. Halve a chunk of pastry and roll out each halve to a circle about the thickness of a 50p piece on a floured surface. Spoon a sixth of the filling into the centre of one circle in a pile. Brush edges with egg, and lift the second pastry circle on top. Gently press down on the fruit to push out as much air as you can. Press the pastry edges to seal. Use an appropriate sized bowl, glass etc to help you trim the edges to a neat circle. At this stage, you can cover and chill the tarts overnight, or freeze for 1 month. Defrost before continuing. Brush with beaten egg, then make three small slashes with a knife in a row. Repeat with remaining pastry and filling.Pop the tarts in the fridge while you heat oven to 200C/180C fan/gas 6. When the oven is nice and hot, brush tarts all over with egg and sprinkle each with a little more sugar. Bake for 20 - 25 mins, until golden, then eat warm with ice cream or custard.",https://www.bbcgoodfood.com/recipes/1826707/marzipan-eccles-tarts
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--958519_11.jpg?itok=cwqatnCZ,St ClementÃ¢ÂÂs pie,british,non-vegetarian,35 mins,Easy,"250g light digestive biscuit 100g cornflake 85g butter, melted 140g caster sugar 1 large egg, plus 4 large egg yolks 397g can light condensed milk zest and juice 3 lemons zest and juice 2 oranges 150ml pot extra-thick double cream 100g 0% fat Greek yogurt 4 tbsp icing sugar more lemon and orangezest, to decorate","Heat oven to 180C/160C fan/gas 4. Sit a fluted 20cm round loose-bottomed tin (about 5cm deep, or a slightly shallower 22cm tin) on a baking sheet. Break the biscuits into a big bowl, or double-bag them in food bags, and bash to big crumbs with the end of a rolling pin or small saucepan. Add the cornflakes and bash a bit more to crumbs. Mix with the melted butter and sugar and press into the base and sides of the tin. Bake for 15 mins, then remove and reduce oven temperature to 160C/140C fan/gas 3.Whisk egg and yolks in a big bowl until pale and frothy. Whisk in the condensed milk, followed by the zests and juices. Pour in the tin and bake for 20 mins. Cool in the tin, then chill for at least 5 hrs, or overnight.Whip the cream, yogurt and icing sugar together. Dollop on the pie and scatter with zest to serve.",https://www.bbcgoodfood.com/recipes/2063673/st-clements-pie
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--908547_11.jpg?itok=eP0jFh6j,Easy treacle sponge,british,non-vegetarian,40 mins,Easy,"250g golden syrup zest 1 lemon, plus juice ÃÂ½ lemon 5 tbsp breadcrumb 200g pack butter, softened 200g golden caster sugar 3 medium eggs 200g self-raising flour 5 tbsp milk","Heat oven to 180C/160C fan/gas 4. Mix the syrup, lemon zest, juice and breadcrumbs and spread over the base of a 1.5 litre baking dish.Beat the butter and sugar until pale and fluffy, then beat in the eggs, one by one. Stir in the flour and milk and dollop over the syrup. Bake for 35-40 mins until golden and risen, and a skewer poked into the sponge comes out clean-ish. Eat with lots of custard, cream or ice cream and extra dribbles of syrup.",https://www.bbcgoodfood.com/recipes/1993657/easy-treacle-sponge
